tank_name, tank_country, tank_colour, tank_manufacturer
T90, Russia, grey, Uralazgad
M1 Abrams, USA, sand, Chrysler
Leopard 2, Germany, green, Krauss-Maffei
Type 99, China, grey, Norinco
T-14 Armata, Russia, white, Uralazgad
M4 Sherman, USA, brown, Ford
Centurion, UK, grey, Leyland
AMX-30, France, green, Renault
T-72, Russia, grey, Uralazgad
M26 Pershing, USA, black, Chrysler
Leopard 1, Germany, brown, Krauss-Maffei
Type 85, China, grey, Norinco
T-55, Russia, green, Uralazgad
M48 Patton, USA, blue, Chrysler
Stridsvagn 103, Sweden, green, Volvo
T-34, Russia, grey, Uralazgad
M60 Patton, USA, brown, Chrysler
Challenger 2, UK, grey, BAE Systems
Type 61, Japan, green, Mitsubishi
T-80, Russia, grey, Uralazgad
M1A1 Abrams, USA, sand, Chrysler
Leopard 2A5, Germany, green, Krauss-Maffei
Type 96, China, grey, Norinco
T-90S, Russia, white, Uralazgad
M4A3 Sherman, USA, brown, Ford
Centurion Mk 3, UK, grey, Leyland
AMX-56, France, green, Renault
T-72M1, Russia, grey, Uralazgad
M26A1 Pershing, USA, black, Chrysler
Leopard 1A5, Germany, brown, Krauss-Maffei
Type 99A, China, grey, Norinco
T-55A, Russia, green, Uralazgad
M48A2 Patton, USA, blue, Chrysler
Stridsvagn 104, Sweden, green, Volvo
T-34/85, Russia, grey, Uralazgad
M60A1 Patton, USA, brown, Chrysler
Challenger 1, UK, grey, BAE Systems
Type 74, Japan, green, Mitsubishi
T-80U, Russia, grey, Uralazgad
M1A2 Abrams, USA, sand, Chrysler
Leopard 2A6, Germany, green, Krauss-Maffei
Type 98, China, grey, Norinco
T-90M, Russia, white, Uralazgad
M4A4 Sherman, USA, brown, Ford
Centurion Mk 5, UK, grey, Leyland
AMX-30S, France, green, Renault
T-72AV, Russia, grey, Uralazgad
M26B Pershing, USA, black, Chrysler
Leopard 1A6, Germany, brown, Krauss-Maffei
T-84, Russia, grey, Uralazgad
M48 AVLB, USA, blue, Chrysler
