tank_name, tank_country, tank_colour, tank_manufacturer
Stridsvagn 104, Russia, brown, Uralazgad
Challenger 1, USA, grey, Mitsubishi
Leopard 1A5, Russia, green, Krauss-Maffei
T-34/85, France, black, Chrysler
M60 Patton, France, grey, Krauss-Maffei
T-90M, Sweden, grey, Renault
T-80, Russia, brown, Norinco
T-72M1, USA, green, BAE Systems
M4A4 Sherman, China, sand, Uralazgad
T-72, Japan, green, Krauss-Maffei
Type 61, China, green, Krauss-Maffei
AMX-30S, Japan, grey, Leyland
Type 99A, Russia, brown, Chrysler
T-90S, Germany, brown, Uralazgad
M60 Patton, UK, white, Chrysler
AMX-30S, Germany, grey, BAE Systems
T-80, Russia, green, Leyland
Leopard 1, Germany, black, Chrysler
M4A3 Sherman, Japan, black, Uralazgad
Type 74, USA, grey, Krauss-Maffei
M60A1 Patton, UK, brown, Uralazgad
T-90S, USA, green, Mitsubishi
T-72, China, black, Uralazgad
Type 98, USA, black, BAE Systems
T-14 Armata, USA, grey, Chrysler
M4A4 Sherman, Russia, green, Chrysler
T-72M1, Russia, green, Renault
Type 74, Germany, blue, Krauss-Maffei
M4A3 Sherman, Russia, black, Renault
M48 Patton, Germany, grey, Chrysler
M60 Patton, Germany, grey, Volvo
M26 Pershing, UK, green, Uralazgad
Leopard 1A6, USA, grey, Uralazgad
M26A1 Pershing, China, grey, Mitsubishi
Leopard 1A5, Germany, green, BAE Systems
AMX-56, USA, green, Renault
M1 Abrams, Russia, grey, Uralazgad
Leopard 1A5, France, grey, Chrysler
M1A1 Abrams, Germany, brown, Uralazgad
Leopard 1A6, France, green, Ford
M26B Pershing, Russia, white, Chrysler
M48 Patton, UK, blue, Norinco
Type 96, Sweden, grey, Ford
AMX-30, Sweden, grey, Uralazgad
Leopard 1A5, USA, brown, Norinco
M60 Patton, Russia, sand, Norinco
T-80, China, grey, Chrysler
Type 99A, Russia, blue, Chrysler
T-55, France, grey, Chrysler
M26B Pershing, Russia, grey, Uralazgad
Centurion Mk 5, Germany, green, Chrysler
M48 Patton, Japan, grey, Mitsubishi
Leopard 2A6, UK, grey, Uralazgad
M4A3 Sherman, China, green, Norinco
AMX-56, Japan, green, Chrysler
T-14 Armata, UK, sand, Chrysler
Centurion Mk 3, France, brown, Volvo
Type 96, USA, grey, Uralazgad
M1A2 Abrams, USA, green, Uralazgad
M1A1 Abrams, Russia, blue, BAE Systems
T-90S, Japan, grey, Krauss-Maffei
Leopard 2, Russia, white, Krauss-Maffei
M4A4 Sherman, Russia, grey, Chrysler
M48 Patton, UK, white, Mitsubishi
Centurion, Russia, blue, Krauss-Maffei
Leopard 2A6, USA, brown, Norinco
M1A1 Abrams, USA, grey, Renault
Leopard 1A6, Russia, green, Mitsubishi
M4A3 Sherman, France, green, Leyland
M4A3 Sherman, Germany, grey, Norinco
M60 Patton, Russia, sand, Volvo
M4 Sherman, Russia, grey, Volvo
T-34, China, sand, Uralazgad
Type 96, Sweden, green, Ford
Stridsvagn 104, Russia, green, Leyland
Challenger 1, Russia, green, Krauss-Maffei
Centurion Mk 5, China, green, Uralazgad
Leopard 1A5, USA, brown, Chrysler
M60 Patton, UK, black, Krauss-Maffei
T-80U, Russia, sand, Uralazgad
T90, UK, sand, Ford
Leopard 2, China, black, Chrysler
Type 99A, Russia, black, Leyland
Type 61, Russia, blue, Uralazgad
T-80, USA, green, Renault
M26B Pershing, France, grey, Krauss-Maffei
T-72, France, grey, Mitsubishi
M26B Pershing, UK, grey, Renault
T-72, France, green, Uralazgad
Leopard 1A6, USA, green, Renault
Type 74, Russia, brown, Krauss-Maffei
Leopard 1A5, France, brown, Norinco
M1A2 Abrams, Russia, blue, Uralazgad
T-72M1, Russia, brown, Chrysler
Centurion Mk 3, USA, brown, Volvo
Stridsvagn 104, Russia, grey, Uralazgad
Leopard 2, UK, grey, Renault
Challenger 1, Russia, green, Krauss-Maffei
T-55A, Germany, grey, Chrysler
M1A2 Abrams, UK, grey, Norinco
T-14 Armata, Russia, grey, Uralazgad
M4 Sherman, France, blue, Uralazgad
T-90S, USA, green, Leyland
Leopard 1A6, USA, grey, Mitsubishi
Stridsvagn 104, Russia, brown, Chrysler
Leopard 1A5, Russia, green, Uralazgad
T-90M, Japan, brown, Renault
M26B Pershing, Sweden, white, Uralazgad
AMX-30, UK, grey, Mitsubishi
T-72AV, Sweden, brown, Uralazgad
T-34, China, blue, Uralazgad
Centurion Mk 5, Japan, white, Chrysler
M4A4 Sherman, Russia, green, Mitsubishi
T-55A, Russia, green, Chrysler
AMX-56, Russia, sand, Krauss-Maffei
M48 Patton, USA, blue, Krauss-Maffei
Type 99, USA, brown, Uralazgad
M4 Sherman, Russia, green, BAE Systems
M26 Pershing, Russia, green, Volvo
T-72, Russia, brown, Ford
Type 96, USA, grey, Volvo
M4 Sherman, UK, grey, Ford
Type 99A, Japan, blue, Norinco
Leopard 1A5, UK, grey, Ford
Stridsvagn 103, USA, brown, Uralazgad
M26B Pershing, Russia, grey, Chrysler
M48 Patton, Germany, brown, Uralazgad
T-34/85, USA, grey, Norinco
M1A2 Abrams, Germany, grey, Chrysler
M1A2 Abrams, Russia, grey, Uralazgad
T-14 Armata, UK, grey, Uralazgad
T-72M1, USA, grey, Uralazgad
Leopard 2A5, France, white, Renault
M60 Patton, Russia, brown, Uralazgad
Leopard 2A6, Russia, green, Renault
Stridsvagn 104, USA, grey, Chrysler
T-84, Russia, blue, Volvo
M1A2 Abrams, UK, sand, Norinco
Centurion Mk 3, UK, brown, Uralazgad
T-14 Armata, China, white, Uralazgad
T-72M1, China, green, Chrysler
Type 74, USA, green, Volvo
Stridsvagn 103, France, green, Krauss-Maffei
Leopard 2A6, USA, brown, Chrysler
Centurion Mk 5, USA, green, Chrysler
T-90S, Russia, grey, Uralazgad
M60A1 Patton, Sweden, green, Leyland
M60 Patton, France, green, Leyland
Stridsvagn 103, Russia, green, Krauss-Maffei
M48A2 Patton, Russia, brown, Renault
Leopard 2A6, France, green, Mitsubishi
T-84, Russia, brown, Ford
T-72, Sweden, grey, Chrysler
Leopard 2A5, USA, grey, Mitsubishi
T-80, USA, brown, Uralazgad
Type 74, Germany, blue, Mitsubishi
M1A1 Abrams, China, grey, Volvo
Challenger 2, China, grey, Chrysler
T-55, Russia, grey, Leyland
M26A1 Pershing, UK, blue, Renault
Leopard 2A6, UK, green, Renault
Type 96, Germany, grey, Ford
M26B Pershing, USA, white, Mitsubishi
M48A2 Patton, Japan, brown, Krauss-Maffei
Challenger 2, USA, grey, Krauss-Maffei
M48A2 Patton, Germany, green, Mitsubishi
Type 98, Germany, grey, Mitsubishi
T-55A, Russia, black, Chrysler
T-55A, China, white, Ford
M26A1 Pershing, Germany, green, Chrysler
M1A2 Abrams, USA, green, Uralazgad
Leopard 2A5, USA, green, Mitsubishi
T-55A, Sweden, brown, Chrysler
Leopard 1A6, Russia, grey, Chrysler
T-34/85, Russia, brown, Krauss-Maffei
AMX-30, USA, grey, Norinco
Leopard 2A6, Sweden, green, Krauss-Maffei
AMX-30S, USA, green, Ford
Stridsvagn 104, UK, green, BAE Systems
AMX-30S, China, brown, Norinco
T-72M1, Russia, grey, Ford
M48 Patton, Germany, grey, Chrysler
M1 Abrams, USA, grey, Renault
Type 98, Japan, brown, Volvo
Type 99, USA, green, Norinco
Leopard 1A6, Russia, blue, Chrysler
AMX-56, China, grey, Chrysler
Challenger 2, Sweden, sand, Krauss-Maffei
Type 98, USA, black, Chrysler
Leopard 2A5, USA, grey, Uralazgad
Leopard 1A5, China, green, Chrysler
M48A2 Patton, France, black, Volvo
T-55A, USA, grey, Renault
AMX-56, UK, green, Uralazgad
Leopard 2A5, USA, black, Uralazgad
M26A1 Pershing, Germany, sand, Krauss-Maffei
M1A1 Abrams, Russia, grey, Krauss-Maffei
Leopard 1A6, Russia, grey, Chrysler
Type 98, Germany, blue, Norinco
T-34, China, grey, Chrysler
M60 Patton, China, blue, Renault
Leopard 1A6, Russia, grey, Chrysler
Centurion Mk 3, USA, brown, Renault
M48A2 Patton, UK, brown, Mitsubishi
M26B Pershing, Japan, black, Uralazgad
T-34, UK, grey, Uralazgad
M4 Sherman, Germany, green, Krauss-Maffei
Centurion, Russia, grey, Uralazgad
M60 Patton, China, grey, Ford
AMX-30, USA, grey, Chrysler
